pL_global,pL_maths,pL_francais,pL_sciences,pL_svt,pL_histoire,pL_anglais,sessions_7j,avg_time_per_q,simulations_completed,last_score_simulation,total_questions_answered,streak_days,days_to_exam,score_final
0.4694251325859066,0.6156354589595345,0.32307583157021064,0.505638677505053,0.6879869151801499,0.30129353304434403,0.3829203792561476,2,14.927862362912856,2,6.296013412516913,211,4.634197835212975,163,9.232800527364253
0.6166947641719268,0.499996616136798,0.7880483985874336,0.5303054296092327,0.6441976062752022,0.7861410199569834,0.4514795144659113,7,15.242994862053413,5,8.877852935580366,187,6.594405911856857,81,13.001543684069965
0.5771144142217296,0.618607530492636,0.40214568263229866,0.6666406092214375,0.5775754996743039,0.49068941263578114,0.7070277506739204,3,22.989735111690933,4,5.03550845868139,200,4.730796045724166,30,11.02248837948632
0.41617124223834107,0.3141104627643281,0.5992389098968011,0.30783367783356913,0.4970397637348109,0.5320492620080898,0.24675537719244714,4,19.024491533919456,2,7.421251718673489,218,2.5095449601469304,83,6.6366427046335685
0.5484970089047355,0.9025159779864478,0.2702375610920216,0.78542477935156,0.5697585764998738,0.3539898354418821,0.40905532305662745,6,5.4140356691802225,1,10.168317004297297,198,12.48702756577421,25,10.205796309107892
0.47455563615516233,0.2416794010866928,0.7087769358150462,0.3784926162081963,0.3298917711221733,0.6277294520960728,0.5607636406027922,4,7.0651589986599195,2,7.494382140106532,194,1.498292039822381,48,10.599564159168866
0.6293641904361199,0.7582342954533831,0.68581360124096,0.7530838394736495,0.5949351646670443,0.5764498244217823,0.40766841735990006,8,25.238396843780507,1,8.91864738562533,186,4.662825301188335,109,11.534750373018229
0.5140705587429409,0.36838946817435975,0.7534702767760725,0.4675778823988329,0.36628431569230635,0.47725886926453065,0.6514425401515431,5,20.482651942595275,2,5.6717020217495,213,4.6292747236209815,56,9.281859448399581
0.39480513327167416,0.4327478644229819,0.19217578873775762,0.542481539778773,0.40521218419071914,0.3290456083879526,0.46716781411186026,5,16.64762027620734,2,4.760931001991782,189,6.192275156764536,129,5.709902716032579
0.5564840503140671,0.720395657759638,0.5770747850034581,0.6354170032464297,0.6585938541458778,0.4566280135053087,0.29079498822369027,5,6.211445559138626,2,12.987689967940497,233,0.9013507593848077,9,13.490789058777958
0.5959994839956186,0.8473196668199093,0.6211437470490211,0.7551810610253146,0.4580015387266743,0.5893955059690622,0.3049553843837303,3,10.38892769081253,4,8.081718492512076,192,0.11954673756086767,42,11.857457464349075
0.2926617967592254,0.19644526837859508,0.1710363001512218,0.1905494086765185,0.3821218268558597,0.41859330850071086,0.39722466799244627,8,9.515246886465986,4,4.885148535916533,197,6.5752557729008565,75,3.538789699016135
