student_id,pL_maths,pL_francais,pL_sciences,pL_svt,pL_histoire,pL_anglais,archetype_true,cluster
STU_00000,0.5593230247939149,0.8149004077086083,0.4447544261899112,0.4012100772377222,0.828209107203443,0.4930182664879213,Litteraire,2
STU_00001,0.6085274954567345,0.6576322798954644,0.690859661441515,0.7249354604911379,0.5587449829727398,0.7534473512706615,Polyvalent,1
STU_00002,0.421560040519445,0.7726092700403366,0.3656012750134304,0.5205417731288661,0.8471929941246057,0.6780194394158936,Litteraire,2
STU_00003,0.8264552960109343,0.5448497166130888,0.7341040128635166,0.7419640276288041,0.5392254099552437,0.5355356496663061,Scientifique,4
STU_00004,0.250510109733392,0.3872367955369461,0.2995028266739941,0.2037178790828814,0.2163012194866361,0.3526241229098916,En_difficulte,0
STU_00005,0.6644232919889161,0.3987862720784412,0.6236824656659743,0.5676982523051957,0.470949964559766,0.6184524544697934,Scientifique,4
STU_00006,0.4287438998665722,0.759035581638994,0.4926728687767447,0.5922254617130441,0.8948347248606878,0.844095700875429,Litteraire,2
STU_00007,0.7366713244930023,0.4603454768780814,0.7742835437882156,0.7303823290210751,0.3639551668703136,0.6268393688456235,Scientifique,4
STU_00008,0.7784128129728514,0.4015309334287222,0.7556463652237674,0.7274978487523198,0.4948469283493918,0.4943726321619284,Scientifique,4
STU_00009,0.7027348907086164,0.4622996606850056,0.7731513656963025,0.8053733702536857,0.5858831020614682,0.5106384544099372,Scientifique,4
STU_00010,0.7566423423094767,0.6034782013638438,0.7177163850449072,0.7259154731807894,0.3681188062451653,0.612537135811479,Scientifique,4
STU_00011,0.2947517604886915,0.3039269387379438,0.2327683387720944,0.3401495844295528,0.3420238167305631,0.3445993716132148,En_difficulte,0
STU_00012,0.7511144081604336,0.5454793320534309,0.6999683372368175,0.844864400477015,0.4124841277793871,0.5236282940357987,Scientifique,4
STU_00013,0.6679346152181639,0.6152324852105406,0.6570013384057299,0.5941545391621217,0.6584360384254538,0.7203589672421951,Polyvalent,1
STU_00014,0.3062483709612809,0.2338412645593943,0.2025680899708254,0.1991294898429949,0.2847617309557061,0.2872251305617394,En_difficulte,0
STU_00015,0.5363226831892243,0.795426294714171,0.4577754779556742,0.35298972080676,0.3585267065243412,0.1999691109147938,Mixte_atypique,3
STU_00016,0.4556488197178285,0.3073542882322094,0.30805464983485,0.4414752496177222,0.3206501623668789,0.3056701401661786,En_difficulte,0
